# model=Coates(1990) Wenz-curve engineering approximation
# units=dB re 1uPa^2/Hz; frequency_hz=Hz
# conditions=shipping_activity:0.5,wind_speed_ms:5.0
# purpose=equation regression baseline, not measured-ocean truth
frequency_hz,turbulence_db,shipping_db,wind_db,thermal_db,total_db
1,107.0000,52.5183,22.6447,-75.0000,107.0000
10,77.0000,71.8764,42.2592,-55.0000,78.1650
20,67.9691,73.8886,47.8611,-48.9794,74.8867
50,56.0309,71.9878,54.6214,-41.0206,72.1736
100,47.0000,67.1634,58.8117,-35.0000,67.7922
200,37.9691,60.1231,61.6651,-28.9794,63.9833
500,26.0309,48.7167,62.5802,-21.0206,62.7560
1000,17.0000,39.2298,60.9254,-15.0000,60.9549
2000,7.9691,29.3770,57.5827,-8.9794,57.5893
5000,-3.9691,16.0791,51.4542,-1.0206,51.4555
10000,-13.0000,5.9219,46.0892,5.0000,46.0899
20000,-22.0309,-4.2741,40.4059,11.0206,40.4111
