# Arveson & Vendittis (2000) Table III, M/V OVERSEAS HARRIETTE, 140 RPM, 16 kn, keel aspect.
# Propagation target: 1 km spherical spreading + project Thorp absorption, no Doppler, colocated-depth direct path.
frequency_hz,source_level_db_re_1upa_at_1m,transmission_loss_db,received_level_db_re_1upa,frequency_tolerance_hz,level_tolerance_db
9.333333,174.000,60.002711,113.997289,0.040,0.050
14.000000,174.000,60.002724,113.997276,0.040,0.050
18.666667,175.000,60.002742,114.997258,0.040,0.050
28.000000,179.000,60.002795,118.997205,0.040,0.050
37.333333,185.000,60.002868,124.997132,0.040,0.050
42.000000,176.000,60.002913,115.997087,0.040,0.050
46.666667,175.000,60.002963,114.997037,0.040,0.050
56.000000,175.000,60.003079,114.996921,0.040,0.050
65.333333,172.000,60.003215,111.996785,0.040,0.050
70.000000,163.000,60.003292,102.996708,0.040,0.050
74.666667,172.000,60.003373,111.996627,0.040,0.050
84.000000,173.000,60.003552,112.996448,0.040,0.050
93.333333,170.000,60.003752,109.996248,0.040,0.050
24.000000,179.000,60.002770,118.997230,0.040,0.050
30.000000,168.000,60.002809,107.997191,0.040,0.050
